query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
0.datadog.pool.ntp.org,,,,,,,No difference detected
01452e5813c541efb602cf88a7a461a2.fp.measure.office.com,,,,,,,No difference detected
1.101.2.10.in-addr.arpa,,,,,,,No difference detected
1.101.46.10.in-addr.arpa,,,,,,,No difference detected
1.2.253.10.in-addr.arpa,,,,,,,No difference detected
10.4.2.10.in-addr.arpa,,,,,,,No difference detected
10.in-addr.arpa,,,,,,,No difference detected
100.16.101.10.in-addr.arpa,,,,,,,No difference detected
101.1.254.10.in-addr.arpa,,,,,,,No difference detected
101.111.251.142.in-addr.arpa,,,,,,,No difference detected
105.10.160.18.in-addr.arpa,,,,,,,No difference detected
10KW014.elwyn.org,,,,,,,No difference detected
114.40.96.52.in-addr.arpa,,,,,,,No difference detected
11FS233.elwyn.org,,,,,,,No difference detected
11FW233.elwyn.org,,,,,,,No difference detected
120.239.72.170.in-addr.arpa,,,,,,,No difference detected
123.0.71.10.in-addr.arpa,,,,,,,No difference detected
131.40.251.142.in-addr.arpa,,,,,,,No difference detected
135.40.33.23.in-addr.arpa,,,,,,,No difference detected
136.133.44.23.in-addr.arpa,,,,,,,No difference detected
136.218.218.23.in-addr.arpa,,,,,,,No difference detected
143.147.12.23.in-addr.arpa,,,,,,,No difference detected
145.71.24.184.in-addr.arpa,,,,,,,No difference detected
149.0.71.10.in-addr.arpa,,,,,,,No difference detected
150.1.254.10.in-addr.arpa,,,,,,,No difference detected
153.133.44.23.in-addr.arpa,,,,,,,No difference detected
157.11.60.10.in-addr.arpa,,,,,,,No difference detected
158.41.18.104.in-addr.arpa,,,,,,,No difference detected
162.179.97.52.in-addr.arpa,,,,,,,No difference detected
162.84.112.52.in-addr.arpa,,,,,,,No difference detected
170.95.112.52.in-addr.arpa,,,,,,,No difference detected
171.1.254.10.in-addr.arpa,,,,,,,No difference detected
178.1.168.192.in-addr.arpa,,,,,,,No difference detected
18.112.162.3.in-addr.arpa,,,,,,,No difference detected
19.1.61.10.in-addr.arpa,,,,,,,No difference detected
193587-ipv4v6c.farm.dprodmgd105.aa-rt.sharepoint.com,,,,,,,No difference detected
193587-ipv4v6fdse.gr.global.aa-rt.sharepoint.com,,,,,,,No difference detected
194.190.190.20.in-addr.arpa,,,,,,,No difference detected
197.71.211.48.in-addr.arpa,,,,,,,No difference detected
1BRTGS1.elwyn.org,,,,,,,No difference detected
1C83H24.elwyn.org,,,,,,,No difference detected
1D.tlu.dl.delivery.mp.microsoft.com,,,,,,,No difference detected
1GZNQD2.elwyn.org,,,,,,,No difference detected
1K0NX64.elwyn.org,,,,,,,No difference detected
1TTG344.elwyn.org,,,,,,,No difference detected
2.90.98.52.in-addr.arpa,,,,,,,No difference detected
2.au.download.windowsupdate.com,,,,,,,No difference detected
2.b.0.d.4.a.b.6.6.f.6.4.a.c.c.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,,,,,,,No difference detected
20.200.255.10.in-addr.arpa,,,,,,,No difference detected
208.143.182.52.in-addr.arpa,,,,,,,No difference detected
209.155.64.172.in-addr.arpa,,,,,,,No difference detected
210.47.97.52.in-addr.arpa,,,,,,,No difference detected
212.101.46.10.in-addr.arpa,,,,,,,No difference detected
224.87.112.52.in-addr.arpa,,,,,,,No difference detected
225.106.10.10.in-addr.arpa,,,,,,,No difference detected
225.245.72.170.in-addr.arpa,,,,,,,No difference detected
22552-ipv4v6c.clump.dprodmgd105.aa-rt.sharepoint.com,,,,,,,No difference detected
22552-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com,,,,,,,No difference detected
226.232.97.52.in-addr.arpa,,,,,,,No difference detected
2288-ms-7.132-181714b4.c020dd2d-8563-11f0-a5e7-f46d3f3c5329,,,,,,,No difference detected
233.0.61.10.in-addr.arpa,,,,,,,No difference detected
24.200.255.10.in-addr.arpa,,,,,,,No difference detected
24.98.2.10.in-addr.arpa,,,,,,,No difference detected
